Name,Serial_Num,year,Basin,Sub_basin,Num,Latitude_first,Longitude_first,Latitude_last,Longitude_last,ISO_time_first,ISO_time_last,Nature
MIRINAE,2016207N17116,2016, WP, MM,5,17.2,114.7,22.0,104.9,2016-07-25 12:00:00,2016-07-28 12:00:00, TS
NIDA,2016212N12127,2016, WP, MM,6,11.7,127.1,25.0,107.9,2016-07-29 12:00:00,2016-08-03 00:00:00, TS
HOWARD,2016214N15240,2016, EP, MM,10,14.7,-119.8,21.7,-156.4,2016-07-31 12:00:00,2016-08-07 12:00:00, TS
EARL,2016215N16283,2016, NA, CS,5,16.3,-77.5,19.0,-97.5,2016-08-02 06:00:00,2016-08-06 12:00:00, TS
IVETTE,2016216N14243,2016, EP, MM,11,13.8,-116.7,14.8,-153.4,2016-08-03 00:00:00,2016-08-11 00:00:00, TS
OMAIS,2016216N17149,2016, WP, MM,7,16.7,148.8,56.3,177.1,2016-08-02 12:00:00,2016-08-12 00:00:00, TS
JAVIER,2016220N18258,2016, EP, MM,12,17.7,-102.5,25.7,-112.5,2016-08-06 18:00:00,2016-08-10 12:00:00, DS
CONSON,2016221N19163,2016, WP, MM,8,18.8,163.0,58.7,143.1,2016-08-07 12:00:00,2016-08-16 12:00:00, TS
NOT NAMED,2016223N22089,2016, NI, BB,3,22.0,88.5,24.4,84.0,2016-08-09 09:00:00,2016-08-12 18:00:00, NR
CHANTHU,2016225N16138,2016, WP, MM,9,16.0,137.6,60.7,149.1,2016-08-12 00:00:00,2016-08-18 18:00:00, TS
DIANMU,2016228N22117,2016, WP, MM,10,21.7,117.0,21.2,102.5,2016-08-15 06:00:00,2016-08-19 18:00:00, TS
KAY,2016230N12254,2016, EP, MM,13,12.4,-106.5,23.5,-130.7,2016-08-17 00:00:00,2016-08-26 06:00:00, DS
FIONA,2016230N12328,2016, NA, NA,6,12.0,-32.2,27.1,-66.7,2016-08-16 18:00:00,2016-08-24 06:00:00, TS
MINDULLE,2016230N15138,2016, WP, MM,11,15.3,138.9,45.1,145.3,2016-08-17 00:00:00,2016-08-23 03:00:00, TS
NOT NAMED,2016230N21089,2016, NI, BB,4,21.0,89.0,25.0,76.5,2016-08-16 12:00:00,2016-08-20 18:00:00, NR
LIONROCK,2016230N25160,2016, WP, MM,12,26.4,159.1,43.9,135.7,2016-08-17 00:00:00,2016-08-30 18:00:00, TS
KOMPASU,2016232N22153,2016, WP, MM,13,22.3,152.8,48.2,147.0,2016-08-18 12:00:00,2016-08-22 06:00:00, TS
GASTON,2016235N11341,2016, NA, NA,7,11.0,-19.4,40.9,-26.1,2016-08-21 12:00:00,2016-09-03 12:00:00, DS
LESTER,2016237N14253,2016, EP, MM,14,14.3,-107.4,17.9,-139.3,2016-08-24 06:00:00,2016-08-31 18:00:00, TS
MADELINE,2016240N13224,2016, EP, MM,15,13.3,-136.4,15.7,-139.7,2016-08-26 18:00:00,2016-08-28 00:00:00, TS
EIGHT,2016240N31295,2016, NA, NA,8,30.7,-65.0,36.8,-71.2,2016-08-27 00:00:00,2016-09-01 00:00:00, DS
HERMINE,2016242N24279,2016, NA, NA,9,23.8,-81.4,41.7,-70.0,2016-08-28 18:00:00,2016-09-08 18:00:00, TS
NAMTHEUN,2016244N21123,2016, WP, MM,15,21.1,123.2,35.9,132.3,2016-08-31 00:00:00,2016-09-05 12:00:00, TS
NEWTON,2016248N15255,2016, EP, MM,16,15.1,-105.0,33.0,-109.6,2016-09-04 06:00:00,2016-09-08 06:00:00, DS
MALOU,2016250N25125,2016, WP, MM,16,24.8,124.8,29.1,132.1,2016-09-05 12:00:00,2016-09-07 06:00:00, TS
MERANTI,2016253N13144,2016, WP, MM,17,13.7,141.7,33.2,125.2,2016-09-09 12:00:00,2016-09-17 12:00:00, TS
RAI,2016255N12114,2016, WP, MM,19,12.3,114.3,16.1,103.5,2016-09-11 06:00:00,2016-09-13 18:00:00, TS
ORLENE,2016255N12247,2016, EP, MM,17,12.3,-113.1,20.2,-128.0,2016-09-10 12:00:00,2016-09-17 06:00:00, DS
MALAKAS,2016256N12146,2016, WP, MM,20,12.5,144.8,34.5,138.1,2016-09-11 18:00:00,2016-09-20 12:00:00, TS
IAN,2016256N20312,2016, NA, NA,10,20.0,-48.5,55.1,-30.3,2016-09-12 00:00:00,2016-09-17 00:00:00, DS
KARL,2016257N13341,2016, NA, NA,11,13.1,-19.0,45.0,-39.9,2016-09-12 18:00:00,2016-09-26 00:00:00, DS
JULIA,2016257N27280,2016, NA, NA,12,27.3,-80.2,35.4,-77.4,2016-09-13 06:00:00,2016-09-21 06:00:00, TS
PAINE,2016262N16251,2016, EP, MM,18,16.1,-109.1,29.1,-115.8,2016-09-18 00:00:00,2016-09-21 12:00:00, TS
LISA,2016263N13333,2016, NA, NA,13,13.2,-26.7,31.6,-40.5,2016-09-19 06:00:00,2016-09-26 12:00:00, DS
MEGI,2016266N11144,2016, WP, MM,21,15.4,141.1,26.5,117.2,2016-09-22 18:00:00,2016-09-29 06:00:00, TS
CHABA,2016269N15165,2016, WP, MM,22,14.9,164.6,50.2,179.2,2016-09-24 18:00:00,2016-10-07 12:00:00, TS
ULIKA,2016270N12223,2016, EP, MM,19,11.8,-137.4,15.4,-156.5,2016-09-25 12:00:00,2016-10-03 00:00:00, DS
ROSLYN,2016270N15240,2016, EP, MM,20,15.3,-119.7,24.0,-117.2,2016-09-25 12:00:00,2016-09-30 18:00:00, TS
MATTHEW,2016273N13300,2016, NA, CS,14,13.4,-59.8,35.3,-71.1,2016-09-28 12:00:00,2016-10-10 00:00:00, TS
SONGDA,2016278N16181,2016, WP, MM,21,16.5,178.8,41.7,176.5,2016-10-04 00:00:00,2016-10-13 12:00:00, TS
NICOLE,2016278N23300,2016, NA, NA,15,23.2,-59.8,59.0,-36.5,2016-10-04 06:00:00,2016-10-19 12:00:00, TS
AERE,2016279N19130,2016, WP, MM,23,19.2,130.0,22.1,118.0,2016-10-04 12:00:00,2016-10-10 00:00:00, TS
SARIKA,2016287N13130,2016, WP, MM,24,12.9,129.4,22.4,108.0,2016-10-13 00:00:00,2016-10-19 18:00:00, TS
HAIMA,2016288N07145,2016, WP, MM,25,7.4,144.5,27.8,145.4,2016-10-14 12:00:00,2016-10-26 06:00:00, TS
KYANT,2016295N14089,2016, NI, BB,5,13.5,88.5,15.4,83.0,2016-10-21 00:00:00,2016-10-27 18:00:00, NR
SEYMOUR,2016296N11262,2016, EP, MM,22,11.4,-98.4,25.0,-121.2,2016-10-22 06:00:00,2016-10-30 06:00:00, DS
MEARI,2016305N10147,2016, WP, MM,26,10.1,146.9,39.0,165.5,2016-10-30 18:00:00,2016-11-09 18:00:00, TS
NOT NAMED,2016308N13088,2016, NI, BB,6,12.7,88.0,21.6,91.9,2016-11-02 18:00:00,2016-11-06 09:00:00, NR
MA-ON,2016313N11163,2016, WP, MM,27,12.8,161.4,21.3,141.4,2016-11-08 18:00:00,2016-11-13 00:00:00, TS
TINA,2016318N18253,2016, EP, MM,23,17.5,-107.3,19.1,-114.7,2016-11-13 06:00:00,2016-11-18 12:00:00, TS
OTTO,2016323N13279,2016, NA, CS,16,12.5,-80.7,9.1,-93.3,2016-11-17 18:00:00,2016-11-26 12:00:00, DS
TOKAGE,2016328N09130,2016, WP, MM,29,9.7,126.8,17.1,118.7,2016-11-24 00:00:00,2016-11-28 00:00:00, TS
NADA,2016335N07088,2016, NI, BB,7,6.5,87.5,10.8,79.7,2016-11-29 12:00:00,2016-12-02 00:00:00, NR
VARDAH,2016341N08092,2016, NI, BB,8,8.5,91.0,9.4,56.8,2016-12-06 09:00:00,2016-12-17 21:00:00, NR
NONAME,2016353S11130,2017, SI, WA,1,-10.5,129.5,-20.5,124.0,2016-12-18 06:00:00,2016-12-23 00:00:00, NR
YVETTE,2016354S15116,2017, SI, WA,2,-14.8,116.0,-17.7,122.6,2016-12-18 12:00:00,2016-12-25 06:00:00, NR
NOCK-TEN,2016355N07146,2016, WP, MM,31,6.2,144.5,11.2,111.4,2016-12-20 12:00:00,2016-12-28 12:00:00, TS
